epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,2989.34,0.59985,0.31916,0.93865,0.99994,0.99942,0.995,0.91787,0.45037,0.20685,0.84837,0.000713,0.000713,0.000713
67,3034.68,0.59762,0.31319,0.93833,0.99991,0.99942,0.995,0.92292,0.44797,0.20783,0.84635,0.0006932,0.0006932,0.0006932
68,3080.23,0.58831,0.31181,0.93703,0.99993,0.99942,0.995,0.91632,0.45709,0.2074,0.84993,0.0006734,0.0006734,0.0006734
69,3125.52,0.58979,0.31131,0.93923,0.99965,0.99942,0.995,0.91899,0.44903,0.20544,0.84814,0.0006536,0.0006536,0.0006536
70,3170.76,0.58895,0.31071,0.93771,0.99922,0.99942,0.995,0.92231,0.44573,0.20632,0.84704,0.0006338,0.0006338,0.0006338
71,3215.84,0.58466,0.31017,0.93728,0.99942,0.99917,0.995,0.92215,0.44441,0.20543,0.84614,0.000614,0.000614,0.000614
72,3261.12,0.58892,0.31143,0.93608,1,0.99935,0.995,0.92365,0.44424,0.20407,0.84499,0.0005942,0.0005942,0.0005942
73,3306.7,0.5835,0.3058,0.9384,0.99936,1,0.995,0.9266,0.43693,0.20247,0.84283,0.0005744,0.0005744,0.0005744
74,3353.06,0.57594,0.30096,0.9338,0.99995,1,0.995,0.92492,0.43446,0.20257,0.84262,0.0005546,0.0005546,0.0005546
75,3399.05,0.58392,0.30626,0.93605,0.99993,1,0.995,0.91963,0.4432,0.20439,0.8462,0.0005348,0.0005348,0.0005348
76,3444.4,0.57699,0.30466,0.93281,0.99994,1,0.995,0.92174,0.44005,0.20313,0.84372,0.000515,0.000515,0.000515
77,3489.88,0.56797,0.29664,0.92813,0.99997,1,0.995,0.92573,0.43204,0.20172,0.83978,0.0004952,0.0004952,0.0004952
78,3535.41,0.56689,0.30022,0.92972,0.99932,1,0.995,0.92254,0.43935,0.20195,0.84326,0.0004754,0.0004754,0.0004754
79,3580.99,0.55918,0.29447,0.92491,0.99998,1,0.995,0.92342,0.43666,0.19914,0.84238,0.0004556,0.0004556,0.0004556
80,3626.21,0.56076,0.29474,0.92982,0.99989,1,0.995,0.92519,0.43388,0.1968,0.84081,0.0004358,0.0004358,0.0004358
81,3671.44,0.55785,0.29226,0.92565,0.99937,1,0.995,0.92263,0.43369,0.19812,0.84126,0.000416,0.000416,0.000416
82,3716.88,0.55778,0.29127,0.92592,0.99994,1,0.995,0.92943,0.43095,0.19805,0.84081,0.0003962,0.0003962,0.0003962
83,3762.1,0.55355,0.28986,0.9241,0.99995,1,0.995,0.92714,0.42856,0.19727,0.83913,0.0003764,0.0003764,0.0003764
84,3807.46,0.55049,0.28377,0.92393,0.99995,1,0.995,0.93274,0.42639,0.19574,0.83748,0.0003566,0.0003566,0.0003566
85,3852.91,0.54334,0.28242,0.92317,0.99995,1,0.995,0.93061,0.42708,0.19347,0.83741,0.0003368,0.0003368,0.0003368
86,3897.72,0.54988,0.28397,0.922,0.99996,1,0.995,0.9279,0.4265,0.19306,0.83724,0.000317,0.000317,0.000317
87,3942.71,0.53898,0.2812,0.9201,0.99995,1,0.995,0.92705,0.42654,0.19328,0.83772,0.0002972,0.0002972,0.0002972
88,3988.2,0.54089,0.27804,0.92091,0.99994,1,0.995,0.92713,0.42506,0.19462,0.83686,0.0002774,0.0002774,0.0002774
89,4033.39,0.53873,0.2832,0.92168,0.99995,1,0.995,0.92958,0.42349,0.19368,0.83658,0.0002576,0.0002576,0.0002576
90,4078.61,0.54057,0.28284,0.92159,0.99989,1,0.995,0.92961,0.42464,0.19354,0.83653,0.0002378,0.0002378,0.0002378
91,4124.06,0.45951,0.21412,0.88963,0.99982,1,0.995,0.92944,0.42471,0.1925,0.8361,0.000218,0.000218,0.000218
92,4168.31,0.44683,0.20649,0.88779,0.99988,1,0.995,0.93312,0.42236,0.18912,0.83485,0.0001982,0.0001982,0.0001982
93,4212.54,0.43918,0.20478,0.88227,0.99992,1,0.995,0.9349,0.41848,0.18819,0.83367,0.0001784,0.0001784,0.0001784
94,4257.1,0.43318,0.20416,0.88251,0.99992,1,0.995,0.93792,0.4152,0.18747,0.83222,0.0001586,0.0001586,0.0001586
95,4301.6,0.43139,0.20274,0.88062,0.99995,1,0.995,0.93908,0.41246,0.18733,0.83158,0.0001388,0.0001388,0.0001388
96,4345.68,0.42922,0.20044,0.87967,0.99995,1,0.995,0.93994,0.41037,0.18617,0.83072,0.000119,0.000119,0.000119
97,4390.14,0.41824,0.1956,0.87399,0.99995,1,0.995,0.93982,0.40972,0.1842,0.83062,9.92e-05,9.92e-05,9.92e-05
98,4434.59,0.4175,0.19599,0.87651,0.99995,1,0.995,0.94099,0.40979,0.18385,0.83072,7.94e-05,7.94e-05,7.94e-05
99,4478.99,0.41609,0.19571,0.87327,0.99995,1,0.995,0.94202,0.40858,0.18436,0.82979,5.96e-05,5.96e-05,5.96e-05
100,4523.37,0.41675,0.19499,0.87641,0.99996,1,0.995,0.94263,0.40744,0.18358,0.82921,3.98e-05,3.98e-05,3.98e-05
